replicate,temperature,seed,lattice_size,n_spins,coupling,field,boltzmann_constant,initial_state,burn_in_sweeps,production_sweeps,sample_every,n_recorded_samples,mean_total_energy,mean_energy_squared,mean_energy_per_spin,mean_signed_magnetisation,mean_magnetisation_squared,mean_absolute_magnetisation,mean_acceptance_fraction,first_half_mean_energy_per_spin,second_half_mean_energy_per_spin,first_half_mean_absolute_magnetisation,second_half_mean_absolute_magnetisation
2,2.35,23048,20,400,1.0,0.0,1.0,up,1000,2000,1,2000,-514.514,268922.056,-1.2862850000000001,0.2154025,0.32118913749999994,0.5151275000000001,0.248575,-1.3319299999999998,-1.24064,0.5894149999999999,0.44084
2,2.4,23049,20,400,1.0,0.0,1.0,up,1000,2000,1,2000,-497.284,250343.104,-1.24321,0.16328,0.27161607499999996,0.474985,0.2674525,-1.20096,-1.28546,0.387905,0.562065
2,2.5,23050,20,400,1.0,0.0,1.0,up,1000,2000,1,2000,-448.21,203502.12,-1.120525,0.047405,0.1531066,0.33191499999999996,0.3171675,-1.1079700000000001,-1.1330799999999999,0.29289499999999996,0.370935
2,2.7,23051,20,400,1.0,0.0,1.0,up,1000,2000,1,2000,-384.75,149890.36,-0.961875,-0.04383000000000001,0.056313175,0.19086,0.38839375000000004,-0.9702999999999999,-0.95345,0.19807500000000003,0.183645
2,3.0,23052,20,400,1.0,0.0,1.0,up,1000,2000,1,2000,-327.294,108538.104,-0.8182349999999999,-0.011852500000000002,0.027501962499999998,0.1305225,0.46097625,-0.82102,-0.81545,0.140275,0.12077000000000002
2,3.5,23053,20,400,1.0,0.0,1.0,up,1000,2000,1,2000,-262.248,69926.624,-0.65562,0.012435,0.015326125,0.09940500000000001,0.5490962500000001,-0.6511699999999999,-0.66007,0.10269999999999999,0.09611000000000001
3,1.5,23054,20,400,1.0,0.0,1.0,up,1000,2000,1,2000,-780.806,609829.336,-1.952015,0.9868174999999999,0.9739037875,0.9868174999999999,0.013333750000000002,-1.95239,-1.9516399999999998,0.9869399999999998,0.986695
3,1.7,23055,20,400,1.0,0.0,1.0,up,1000,2000,1,2000,-760.26,578380.736,-1.90065,0.97067,0.9425006249999999,0.97067,0.028648750000000004,-1.90275,-1.89855,0.9713800000000001,0.96996
3,1.9,23056,20,400,1.0,0.0,1.0,up,1000,2000,1,2000,-723.488,524272.656,-1.80872,0.938245,0.8812991499999999,0.938245,0.05786,-1.80158,-1.81586,0.934715,0.9417750000000001
3,2.05,23057,20,400,1.0,0.0,1.0,up,1000,2000,1,2000,-687.604,474001.712,-1.7190100000000001,0.9022100000000001,0.8156419249999999,0.9022100000000001,0.08882625,-1.71627,-1.72175,0.90059,0.9038299999999999
